Line, Expression, Evaluation
275, g21>1 && g21>0 && g32>1 && g32>0, 4*g21^2 - 4*g21>0, True
276, g21>1 && g21>0 && g32>1 && g32>0, 6*g21 - 6>0, True
277, g21>1 && g21>0 && g32>1 && g32>0, g21 - 1>0, True
278, g21>1 && g21>0 && g32>1 && g32>0, 10*g21*g32 + 2*g21 - 4*g32 - 8>0, True
279, g21>1 && g21>0 && g32>1 && g32>0, g32^2 - g32>0, True
280, g21>1 && g21>0 && g32>1 && g32>0, g21*g32 - 1>0, True
281, g21>1 && g21>0 && g32>1 && g32>0, g21^2 - g21>0, True
282, g21>1 && g21>0 && g32>1 && g32>0, 6*g32 - 6>0, True
283, g21>1 && g21>0 && g32>1 && g32>0, 6*g21 - 6>0, True
284, g21>1 && g21>0 && g32>1 && g32>0, 6*g32 - 6>0, True
285, g21>1 && g21>0 && g32>1 && g32>0, g21 - 1>0, True
286, g21>1 && g21>0 && g32>1 && g32>0, g32^2 - 1>0, True
287, g21>1 && g21>0 && g32>1 && g32>0, 5*g21*g32 + g21 + g32 - 7>0, True
288, g21>1 && g21>0 && g32>1 && g32>0, 7*g21 - 7>0, True
289, g21>1 && g21>0 && g32>1 && g32>0, 7*g21*g32^2 - 3*g21*g32 + g32^2 - 5*g32>0, True
290, g21>1 && g21>0 && g32>1 && g32>0, g21*g32^2 - g32>0, True
291, g21>1 && g21>0 && g32>1 && g32>0, 4*g32 - 4>0, True
292, g21>1 && g21>0 && g32>1 && g32>0, 3*g21^2*g32^2 + g21^2*g32 + g21*g32^2 - 5*g21*g32>0, True
293, g21>1 && g21>0 && g32>1 && g32>0, 4*g32 - 4>0, True
294, g21>1 && g21>0 && g32>1 && g32>0, 4*g21*g32^2 + 2*g21*g32 + g32^2 - 6*g32 - 1>0, True
295, g21>1 && g21>0 && g32>1 && g32>0, g32 - 1>0, True
296, g21>1 && g21>0 && g32>1 && g32>0, 4*g21*g32 + 2*g32 - 6>0, True
297, g21>1 && g21>0 && g32>1 && g32>0, g32 - 1>0, True
298, g21>1 && g21>0 && g32>1 && g32>0, 4*g21 - 4>0, True
299, g21>1 && g21>0 && g32>1 && g32>0, 5*g32^2 - 4*g32 - 1>0, True
300, g21>1 && g21>0 && g32>1 && g32>0, g32^2 - 1>0, True
301, g21>1 && g21>0 && g32>1 && g32>0, 4*g21^2*g32 + g21^2 + 2*g21*g32 - 6*g21 - 1>0, True
302, g21>1 && g21>0 && g32>1 && g32>0, 2*g21*g32 - g21 + g32 - 2>0, True
303, g21>1 && g21>0 && g32>1 && g32>0, 6*g32 - 6>0, True
304, g21>1 && g21>0 && g32>1 && g32>0, 4*g21 - 4>0, True
