Line, Expression, Evaluation
63, g21>1 && g21>0 && g32>1 && g32>0, -8*g21*g32 - 4*g32 + 12<0, True
64, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32 + 2<0, True
65, g21>1 && g21>0 && g32>1 && g32>0, -2*g21^2*g32 - 2*g21*g32 + 2*g21 + 2<0, True
66, g21>1 && g21>0 && g32>1 && g32>0, -2*g21^2*g32 + 2*g21<0, True
67, g21>1 && g21>0 && g32>1 && g32>0, -2*g32^2 + 2*g32<0, True
68, g21>1 && g21>0 && g32>1 && g32>0, 2 - 2*g32<0, True
69, g21>1 && g21>0 && g32>1 && g32>0, 8 - 8*g32<0, True
70, g21>1 && g21>0 && g32>1 && g32>0, -2*g21^2*g32^2 + 2*g21*g32<0, True
71, g21>1 && g21>0 && g32>1 && g32>0, -4*g21*g32^2 + 2*g21*g32 - 2*g32^2 + 4*g32<0, True
72, g21>1 && g21>0 && g32>1 && g32>0, -4*g21*g32^2 + 2*g21*g32 + 2*g32<0, True
73, g21>1 && g21>0 && g32>1 && g32>0, 2 - 2*g32^2<0, True
74, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32^2 + 2*g32<0, True
75, g21>1 && g21>0 && g32>1 && g32>0, 6 - 6*g32<0, True
76, g21>1 && g21>0 && g32>1 && g32>0, -2*g32^2 + 2*g32<0, True
77, g21>1 && g21>0 && g32>1 && g32>0, -8*g21*g32^2 - 2*g21*g32 + 2*g21 - 4*g32^2 + 10*g32 + 2<0, True
78, g21>1 && g21>0 && g32>1 && g32>0, -4*g21*g32 - 2*g21 - 2*g32 + 8<0, True
79, g21>1 && g21>0 && g32>1 && g32>0, -2*g21^2*g32^2 - 4*g21*g32^2 + 4*g21*g32 + 2*g32<0, True
80, g21>1 && g21>0 && g32>1 && g32>0, -2*g21^2*g32^2 - 4*g21^2*g32 - 4*g21*g32^2 + 6*g21*g32 + 2*g21 + 2*g32<0, True
81, g21>1 && g21>0 && g32>1 && g32>0, -4*g21*g32 + 2*g21 - 2*g32 + 4<0, True
82, g21>1 && g21>0 && g32>1 && g32>0, 2 - 2*g32<0, True
83, g21>1 && g21>0 && g32>1 && g32>0, -6*g32^2 + 4*g32 + 2<0, True
84, g21>1 && g21>0 && g32>1 && g32>0, -2*g21^2*g32 - 4*g21*g32 + 4*g21 + 2<0, True
85, g21>1 && g21>0 && g32>1 && g32>0, 6 - 6*g32<0, True
86, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32^2 - 2*g21*g32 + 2*g32 + 2<0, True
87, g21>1 && g21>0 && g32>1 && g32>0, -2*g32^2 + 2*g32<0, True
88, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32^2 - 4*g21*g32 - 2*g32^2 + 6*g32 + 2<0, True
89, g21>1 && g21>0 && g32>1 && g32>0, -4*g21*g32^2 + 2*g32 + 2<0, True
90, g21>1 && g21>0 && g32>1 && g32>0, -3*g21^2*g32^2 - g21^2*g32 - g21*g32^2 + 5*g21*g32<0, True
91, g21>1 && g21>0 && g32>1 && g32>0, -5*g32^2 + 4*g32 + 1<0, True
92, g21>1 && g21>0 && g32>1 && g32>0, -4*g21*g32^2 - 2*g21*g32 - g32^2 + 6*g32 + 1<0, True
93, g21>1 && g21>0 && g32>1 && g32>0, -4*g32^2 + 4*g32<0, True
94, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32 + g21 - g32 + 2<0, True
95, g21>1 && g21>0 && g32>1 && g32>0, -g21^2*g32 - 2*g21*g32 + 2*g21 + 1<0, True
96, g21>1 && g21>0 && g32>1 && g32>0, -g21^2*g32 + g21<0, True
97, g21>1 && g21>0 && g32>1 && g32>0, 6 - 6*g32<0, True
98, g21>1 && g21>0 && g32>1 && g32>0, -6*g21*g32 + 6<0, True
99, g21>1 && g21>0 && g32>1 && g32>0, 1 - g32<0, True
100, g21>1 && g21>0 && g32>1 && g32>0, -g21*g32 + 1<0, True
101, g21>1 && g21>0 && g32>1 && g32>0, -g21*g32^2 - g21*g32 + g32 + 1<0, True
102, g21>1 && g21>0 && g32>1 && g32>0, -4*g21*g32 - 2*g32 + 6<0, True
103, g21>1 && g21>0 && g32>1 && g32>0, 1 - g32^2<0, True
104, g21>1 && g21>0 && g32>1 && g32>0, 1 - g32<0, True
105, g21>1 && g21>0 && g32>1 && g32>0, -g21^2*g32 - g21*g32 + g21 + 1<0, True
106, g21>1 && g21>0 && g32>1 && g32>0, -4*g21^2*g32 - g21^2 - 2*g21*g32 + 6*g21 + 1<0, True
107, g21>1 && g21>0 && g32>1 && g32>0, 6 - 6*g32<0, True
108, g21>1 && g21>0 && g32>1 && g32>0, -10*g21*g32 + 4*g21 - 2*g32 + 8<0, True
109, g21>1 && g21>0 && g32>1 && g32>0, 4 - 4*g32<0, True
110, g21>1 && g21>0 && g32>1 && g32>0, 6 - 6*g32<0, True
111, g21>1 && g21>0 && g32>1 && g32>0, -5*g21*g32 - g21 - g32 + 7<0, True
112, g21>1 && g21>0 && g32>1 && g32>0, -7*g21*g32^2 + 3*g21*g32 - g32^2 + 5*g32<0, True
113, g21>1 && g21>0 && g32>1 && g32>0, -g21*g32^2 + g32<0, True
114, g21>1 && g21>0 && g32>1 && g32>0, -g32^2 + g32<0, True
115, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32 + 2<0, True
116, g21>1 && g21>0 && g32>1 && g32>0, -2*g21^2*g32 + 2*g21<0, True
117, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32^2 + 2*g32<0, True
118, g21>1 && g21>0 && g32>1 && g32>0, -2*g32^2 + 2*g32<0, True
119, g21>1 && g21>0 && g32>1 && g32>0, 4 - 4*g32<0, True
120, g21>1 && g21>0 && g32>1 && g32>0, -4*g21*g32 + 2*g21 + 2<0, True
121, g21>1 && g21>0 && g32>1 && g32>0, -6*g21*g32 + 2*g21 + 2*g32 + 2<0, True
122, g21>1 && g21>0 && g32>1 && g32>0, 2 - 2*g32<0, True
123, g21>1 && g21>0 && g32>1 && g32>0, 2 - 2*g32<0, True
124, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32 + g21 + g32<0, True
125, g21>1 && g21>0 && g32>1 && g32>0, 1 - g32<0, True
